ANIO,POBLACION_TOTAL,AEXT_AGUA_DULCE_BMC,EMI_CO2_TMP,EMI_CO2_KT,USO_ENERGIA_KGPET,ELEC_FTE_RENOVABLE,ELEC_FTE_PETROLE,ELEC_FTE_NUCLEAR,ELEC_FTE_GAS_NAT,ELEC_FTE_HIDRO,ELEC_FTE_CARBON,AREA_SEV_KM2
1960,38174114,,1.653382289,63116.404,,,,,,,,
1961,39394125,,1.657749804,65305.603,,,,,,,,
1962,40649590,,1.569744418,63809.467,,,,,,,,
1963,41939880,,1.58230541,66361.699,,,,,,,,
1964,43264267,,1.716861446,74278.752,,,,,,,,
1965,44623041,,1.686277724,75246.84,,,,,,,,
1966,46010959,,1.758943777,80930.69,,,,,,,,
1967,47429553,,1.899698633,90101.857,,,,,,,,
1968,48893607,,1.92231424,93988.877,,,,,,,,
1969,50423127,,2.028579029,102287.298,,,,,,,,
1970,52029859,,2.192453299,114073.036,,,,,,,,
1971,53719547,,2.351828302,126339.151,,0,35.51660814,0,17.63587744,46.33203389,0.515480525,
1972,55480125,,2.387510374,132459.374,,0,39.42083818,0,15.25029104,44.6798603,0.649010477,
1973,57283361,,2.518930113,144292.783,,0.433962264,41.12668464,0,14.24528302,43.6361186,0.557951482,
1974,59090495,,2.623226578,155007.757,,1.129709155,45.5519227,0,12.00468476,40.76956861,0.544114776,
1975,60872399,,2.701918878,164472.284,,1.179309717,50.44394864,0,13.48237865,34.45041435,0.443948639,
1976,62620087,,2.940564503,184138.405,,1.21833179,53.04477738,0,9.167999327,36.19013551,0.378755997,
1977,64337694,,2.997426827,192847.53,,1.132819227,52.21110239,0,9.569643506,36.72477468,0.361660193,
1978,66025613,,3.372164663,222649.239,,1.049306896,58.2435515,0,12.18985787,28.51728373,0,
1979,67688533,,3.558567727,240874.229,,1.64129822,52.33470242,0,17.05726021,28.96673915,0,
1980,69330974,,3.872060646,268453.736,,1.366446641,57.93584421,0,15.48042173,25.21728742,0,
1981,70950741,,4.010245136,284529.864,,1.317713958,53.49043837,0,11.52316251,33.62357669,0.045108465,
1982,72547995,56,4.201876427,304837.71,,1.619028583,55.77778333,0,12.42129722,28.58534879,1.596542075,
1983,74133377,,3.755968705,278442.644,,1.652478718,59.92281105,0,10.13959964,25.32457222,2.960538369,
1984,75721210,,3.666408698,277624.903,,1.63809962,58.37455424,0,9.243069136,27.14137812,3.602898884,
1985,77322643,,3.73113507,288501.225,,1.76472486,57.38635753,0,8.491326931,28.21516523,4.142425448,
