Rainfall (mm),"	Year", Month, Country, ISO3, ISO2,,,,,,,,,,,,,
19.938023,1990,1,MEX,,,,,,,,,,,,,,,
15.533254,1990,2,MEX,,,,,,,,,,,,,,,
17.432896,1990,3,MEX,,,,,,,,,,,,,,,
17.252682,1990,4,MEX,,,,,,,,,,,,,,,
34.078426,1990,5,MEX,,,,,,,,,,,,,,,
86.33564,1990,6,MEX,,,,,,,,,,,,,,,
156.81418,1990,7,MEX,,,,,,,,,,,,,,,
122.078186,1990,8,MEX,,,,,,,,,,,,,,,
130.59082,1990,9,MEX,,,,,,,,,,,,,,,
69.19237,1990,10,MEX,,,,,,,,,,,,,,,
33.407867,1990,11,MEX,,,,,,,,,,,,,,,
27.704647,1990,12,MEX,,,,,,,,,,,,,,,
22.152086,1991,1,MEX,,,,,,,,,,,,,,,
17.900476,1991,2,MEX,,,,,,,,,,,,,,,
10.175685,1991,3,MEX,,,,,,,,,,,,,,,
9.563409,1991,4,MEX,,,,,,,,,,,,,,,
39.62789,1991,5,MEX,,,,,,,,,,,,,,,
103.74959,1991,6,MEX,,,,,,,,,,,,,,,
128.5391,1991,7,MEX,,,,,,,,,,,,,,,
103.05542,1991,8,MEX,,,,,,,,,,,,,,,
151.52242,1991,9,MEX,,,,,,,,,,,,,,,
69.01478,1991,10,MEX,,,,,,,,,,,,,,,
35.398808,1991,11,MEX,,,,,,,,,,,,,,,
44.436592,1991,12,MEX,,,,,,,,,,,,,,,
35.240288,1992,1,MEX,,,,,,,,,,,,,,,
18.12217,1992,2,MEX,,,,,,,,,,,,,,,1116
15.901907,1992,3,MEX,,,,,,,,,,,,,,,1082
20.424553,1992,4,MEX,,,,,,,,,,,,,,,34
61.45292,1992,5,MEX,,,,,,,,,,,,,,,
73.64851,1992,6,MEX,,,,,,,,,,,,,,,
121.571754,1992,7,MEX,,,,,,,,,,,,,,,
120.61359,1992,8,MEX,,,,,,,,,,,,,,,
126.39392,1992,9,MEX,,,,,,,,,,,,,,,
70.995834,1992,10,MEX,,,,,,,,,,,,,,,
35.032894,1992,11,MEX,,,,,,,,,,,,,,,
27.9764,1992,12,MEX,,,,,,,,,,,,,,,
30.029202,1993,1,MEX,,,,,,,,,,,,,,,
15.447795,1993,2,MEX,,,,,,,,,,,,,,,
10.077116,1993,3,MEX,,,,,,,,,,,,,,,
16.711681,1993,4,MEX,,,,,,,,,,,,,,,
32.790825,1993,5,MEX,,,,,,,,,,,,,,,
154.67758,1993,6,MEX,,,,,,,,,,,,,,,
114.88106,1993,7,MEX,,,,,,,,,,,,,,,
131.24446,1993,8,MEX,,,,,,,,,,,,,,,
166.31108,1993,9,MEX,,,,,,,,,,,,,,,
59.47962,1993,10,MEX,,,,,,,,,,,,,,,
25.901312,1993,11,MEX,,,,,,,,,,,,,,,
17.987843,1993,12,MEX,,,,,,,,,,,,,,,
17.8559,1994,1,MEX,,,,,,,,,,,,,,,
13.582718,1994,2,MEX,,,,,,,,,,,,,,,
11.180929,1994,3,MEX,,,,,,,,,,,,,,,
15.111562,1994,4,MEX,,,,,,,,,,,,,,,
29.570917,1994,5,MEX,,,,,,,,,,,,,,,
82.2503,1994,6,MEX,,,,,,,,,,,,,,,
85.160904,1994,7,MEX,,,,,,,,,,,,,,,
125.062454,1994,8,MEX,,,,,,,,,,,,,,,
120.47414,1994,9,MEX,,,,,,,,,,,,,,,
88.30393,1994,10,MEX,,,,,,,,,,,,,,,
30.49261,1994,11,MEX,,,,,,,,,,,,,,,
26.530512,1994,12,MEX,,,,,,,,,,,,,,,
16.644695,1995,1,MEX,,,,,,,,,,,,,,,
11.9730625,1995,2,MEX,,,,,,,,,,,,,,,
12.195471,1995,3,MEX,,,,,,,,,,,,,,,
15.781645,1995,4,MEX,,,,,,,,,,,,,,,
32.432896,1995,5,MEX,,,,,,,,,,,,,,,
89.1559,1995,6,MEX,,,,,,,,,,,,,,,
109.57628,1995,7,MEX,,,,,,,,,,,,,,,
180.81752,1995,8,MEX,,,,,,,,,,,,,,,
141.04721,1995,9,MEX,,,,,,,,,,,,,,,
93.285576,1995,10,MEX,,,,,,,,,,,,,,,
21.200954,1995,11,MEX,,,,,,,,,,,,,,,
18.847795,1995,12,MEX,,,,,,,,,,,,,,,
13.335518,1996,1,MEX,,,,,,,,,,,,,,,
