"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Mexico","111","Seed","2007","tonnes","542955.00000","A "
"Mexico","111","Seed","2006","tonnes","531164.00000","A "
"Mexico","111","Seed","2005","tonnes","511905.00000","A "
"Mexico","111","Seed","2004","tonnes","520847.00000","A "
"Mexico","111","Seed","2003","tonnes","532466.00000","A "
"Mexico","111","Seed","2002","tonnes","529380.00000","A "
"Mexico","111","Seed","2001","tonnes","536203.00000","A "
"Mexico","111","Seed","2000","tonnes","549756.00000","A "
"Mexico","111","Seed","1999","tonnes","556436.00000","A "
"Mexico","111","Seed","1998","tonnes","555025.00000","A "
"Mexico","111","Seed","1997","tonnes","566112.00000","A "
"Mexico","111","Seed","1996","tonnes","599754.00000","A "
"Mexico","111","Seed","1995","tonnes","581164.00000","A "
"Mexico","111","Seed","1994","tonnes","599082.00000","A "
"Mexico","111","Seed","1993","tonnes","603557.00000","A "
"Mexico","111","Seed","1992","tonnes","542966.00000","A "
"Mexico","111","Seed","1991","tonnes","545535.00000","A "
"Mexico","111","Seed","1990","tonnes","539184.00000","A "
"Mexico","111","Seed","1989","tonnes","550317.00000","A "
"Mexico","111","Seed","1988","tonnes","563021.00000","A "
"Mexico","111","Seed","1987","tonnes","561321.00000","A "
"Mexico","111","Seed","1986","tonnes","587645.00000","A "
"Mexico","111","Seed","1985","tonnes","602281.00000","A "
"Mexico","111","Seed","1984","tonnes","620449.00000","A "
"Mexico","111","Seed","1983","tonnes","567524.00000","A "
"Mexico","111","Seed","1982","tonnes","580970.00000","A "
"Mexico","111","Seed","1981","tonnes","595503.00000","A "
"Mexico","111","Seed","1980","tonnes","594010.00000","A "
"Mexico","111","Seed","1979","tonnes","515567.00000","A "
"Mexico","111","Seed","1978","tonnes","472644.00000","A "
"Mexico","111","Seed","1977","tonnes","486439.00000","A "
"Mexico","111","Seed","1976","tonnes","496136.00000","A "
"Mexico","111","Seed","1975","tonnes","483235.00000","A "
"Mexico","111","Seed","1974","tonnes","471141.00000","A "
"Mexico","111","Seed","1973","tonnes","456765.00000","A "
"Mexico","111","Seed","1972","tonnes","490146.00000","A "
"Mexico","111","Seed","1971","tonnes","475979.00000","A "
"Mexico","111","Seed","1970","tonnes","486387.00000","A "
"Mexico","111","Seed","1969","tonnes","503162.00000","A "
"Mexico","111","Seed","1968","tonnes","480531.00000","A "
"Mexico","111","Seed","1967","tonnes","502585.00000","A "
"Mexico","111","Seed","1966","tonnes","497357.00000","A "
"Mexico","111","Seed","1965","tonnes","524948.00000","A "
"Mexico","111","Seed","1964","tonnes","505088.00000","A "
"Mexico","111","Seed","1963","tonnes","486351.00000","A "
"Mexico","111","Seed","1962","tonnes","461519.00000","A "
"Mexico","111","Seed","1961","tonnes","420967.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2007","1000 Int. $","4175664.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2006","1000 Int. $","3914907.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2005","1000 Int. $","3539159.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2004","1000 Int. $","3894202.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2003","1000 Int. $","3789874.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2002","1000 Int. $","3508398.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2001","1000 Int. $","3782230.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2000","1000 Int. $","3445037.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1999","1000 Int. $","3366700.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1998","1000 Int. $","3584480.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1997","1000 Int. $","3473294.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1996","1000 Int. $","3603346.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1995","1000 Int. $","3311129.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1994","1000 Int. $","3331137.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1993","1000 Int. $","3101007.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1992","1000 Int. $","3326105.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1991","1000 Int. $","2956276.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1990","1000 Int. $","3185850.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1989","1000 Int. $","2730641.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1988","1000 Int. $","2665889.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1987","1000 Int. $","3006579.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1986","1000 Int. $","2895146.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1985","1000 Int. $","3493534.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1984","1000 Int. $","2984154.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1983","1000 Int. $","2825794.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1982","1000 Int. $","2594364.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1981","1000 Int. $","3079158.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1980","1000 Int. $","2596793.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1979","1000 Int. $","1971457.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1978","1000 Int. $","2356123.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1977","1000 Int. $","2254618.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1976","1000 Int. $","2103919.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1975","1000 Int. $","2124877.00000","A "
